Date,Price,Open,High,Low,Vol.,Change %
08/28/2025,202.5,203.5,204.18,201,497.17K,-0.39%
08/27/2025,203.3,203.8,205.5,202.7,728.98K,-0.25%
08/26/2025,203.8,206.8,206.8,202.54,2.75M,-0.84%
08/25/2025,205.53,206,206.94,204.9,1.22M,0.25%
08/22/2025,205.02,206.5,208,204,835.71K,-0.69%
08/21/2025,206.44,209,209.8,205,795.32K,-0.64%
08/20/2025,207.76,209.97,210.25,207.4,726.74K,-1.17%
08/19/2025,210.21,212,212,208.5,763.76K,-0.27%
08/18/2025,210.77,208.6,212,208.4,1.20M,1.22%
08/15/2025,208.23,201.5,209,201,2.07M,3.25%
08/13/2025,201.68,207,209,199.9,1.78M,-2.71%
08/12/2025,207.3,209.8,212,206.03,1.64M,-1.15%
08/11/2025,209.71,211.84,212,207.7,741.79K,-1.01%
08/08/2025,211.84,218.01,218.24,209.8,2.15M,-4.51%
08/07/2025,221.84,217,225,213.1,3.30M,3.36%
08/06/2025,214.63,211,216.6,210,1.64M,2.32%
08/05/2025,209.76,206,210.19,205.26,1.11M,2.20%
08/04/2025,205.25,206.98,206.98,203.55,1.05M,-0.79%
08/01/2025,206.89,204.5,207.5,204,760.99K,1.00%
07/31/2025,204.84,206.5,208,203.6,773.56K,-0.73%
07/30/2025,206.34,210,210.99,204.3,1.91M,0.53%
07/29/2025,205.25,218,219.5,202.11,5.44M,-5.12%
07/28/2025,216.32,217,218.5,215.6,588.75K,-0.04%
07/25/2025,216.4,217,219,215,834.24K,-0.38%
07/24/2025,217.22,221,221.5,217,971.56K,-1.27%
07/23/2025,220.01,221,224.4,219.51,1.97M,-0.22%
07/22/2025,220.5,210,225,209.51,6.26M,4.51%
07/21/2025,210.98,213.69,214.9,210,1.48M,0.79%
07/18/2025,209.32,209,214.8,206.9,2.93M,0.81%
07/17/2025,207.63,198,211.5,198,3.91M,5.00%
07/16/2025,197.75,193,199,192.5,2.12M,2.84%
07/15/2025,192.28,193.9,194.5,192.01,527.84K,-0.84%
07/14/2025,193.9,192,194,191.6,550.88K,0.98%
07/11/2025,192.02,193,193.45,191.8,1.62M,-0.11%
07/10/2025,192.23,192,193.5,191.96,302.97K,0.33%
07/09/2025,191.6,193.56,193.75,191.5,545.59K,-1.01%
07/08/2025,193.56,195,196,193.45,463.84K,-0.91%
07/07/2025,195.34,196.84,197.4,194.8,1.29M,-0.48%
07/04/2025,196.29,194.76,197.49,194,651.72K,0.89%
07/03/2025,194.55,193,195.98,193,1.43M,0.89%
