"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","403.03","395.00","405.00","394.00","675.53K","1.34%"
"08/27/2025","397.70","405.00","410.00","396.60","517.24K","-1.95%"
"08/26/2025","405.59","420.09","432.00","400.02","2.41M","-3.45%"
"08/25/2025","420.08","424.00","427.98","416.00","401.05K","-0.88%"
"08/22/2025","423.80","425.21","436.00","422.00","676.32K","-0.33%"
"08/21/2025","425.21","432.00","432.10","422.00","502.48K","-0.95%"
"08/20/2025","429.28","432.00","437.45","428.00","669.57K","-0.06%"
"08/19/2025","429.54","430.05","436.50","428.00","484.89K","-0.40%"
"08/18/2025","431.27","424.90","440.55","422.00","1.12M","2.18%"
"08/15/2025","422.08","424.90","427.00","419.00","301.07K","-0.27%"
"08/13/2025","423.23","428.00","430.00","417.50","848.33K","-1.03%"
"08/12/2025","427.62","430.00","437.90","426.13","246.68K","-0.47%"
"08/11/2025","429.65","420.00","433.58","420.00","208.30K","0.95%"
"08/08/2025","425.60","435.00","436.00","424.00","323.12K","-1.20%"
"08/07/2025","430.77","421.00","439.70","420.05","703.48K","2.64%"
"08/06/2025","419.67","418.62","423.00","415.00","307.45K","0.25%"
"08/05/2025","418.62","423.00","426.01","417.85","357.30K","-0.79%"
"08/04/2025","421.97","424.97","428.00","417.50","363.48K","1.24%"
"08/01/2025","416.79","425.00","429.45","415.00","227.61K","-1.68%"
"07/31/2025","423.92","434.00","436.00","422.00","421.56K","-1.33%"
"07/30/2025","429.62","423.50","444.89","422.01","1.69M","1.89%"
"07/29/2025","421.66","417.00","429.00","417.00","1.74M","2.40%"
"07/28/2025","411.79","394.90","422.80","391.00","1.50M","4.53%"
"07/25/2025","393.94","390.88","395.95","390.88","151.79K","0.78%"
"07/24/2025","390.88","394.80","397.00","390.24","233.04K","-0.26%"
"07/23/2025","391.91","392.00","395.00","390.00","201.50K","0.31%"
"07/22/2025","390.68","396.99","402.80","390.00","485.77K","-1.84%"
"07/21/2025","398.01","392.65","400.00","390.02","372.33K","1.42%"
"07/18/2025","392.43","398.94","399.80","389.00","206.15K","-0.98%"
"07/17/2025","396.33","394.06","401.00","393.50","263.42K","0.72%"
"07/16/2025","393.50","390.00","395.40","388.11","559.49K","0.83%"
"07/15/2025","390.27","388.51","398.93","388.00","540.13K","-0.04%"
"07/14/2025","390.43","394.00","395.50","390.00","171.41K","-0.94%"
"07/11/2025","394.14","397.00","399.50","392.20","93.28K","-0.46%"
"07/10/2025","395.98","398.99","401.00","395.00","92.56K","-0.37%"
"07/09/2025","397.46","400.50","403.00","395.00","212.25K","-1.09%"
"07/08/2025","401.84","407.00","407.00","401.00","353.90K","-1.41%"
