"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","248.47","255.51","256.87","247.00","2.48M","-2.60%"
"08/27/2025","255.10","261.95","261.95","253.00","983.28K","-1.38%"
"08/26/2025","258.68","263.40","264.50","258.00","1.07M","-1.15%"
"08/25/2025","261.70","264.00","264.90","260.18","797.35K","-1.05%"
"08/22/2025","264.48","265.01","269.50","264.00","1.20M","-0.23%"
"08/21/2025","265.08","273.75","273.75","263.03","2.49M","-2.58%"
"08/20/2025","272.10","270.00","274.89","268.00","2.31M","0.87%"
"08/19/2025","269.74","269.50","274.99","268.01","2.77M","-0.41%"
"08/18/2025","270.86","274.10","274.10","262.40","4.74M","-1.20%"
"08/15/2025","274.15","276.50","277.49","273.30","842.33K","-0.58%"
"08/13/2025","275.76","272.49","279.49","270.25","3.30M","1.73%"
"08/12/2025","271.06","267.50","274.00","266.00","4.50M","2.04%"
"08/11/2025","265.65","261.00","267.50","261.00","3.75M","1.65%"
"08/08/2025","261.33","266.00","266.00","259.10","3.17M","-2.27%"
"08/07/2025","267.41","262.01","274.90","260.52","10.79M","2.86%"
"08/06/2025","259.98","238.02","260.67","238.02","14.44M","9.71%"
"08/05/2025","236.97","235.98","239.50","234.99","2.81M","-0.45%"
"08/04/2025","238.04","233.00","244.44","233.00","9.25M","2.88%"
"08/01/2025","231.37","222.00","234.00","220.50","6.78M","4.25%"
"07/31/2025","221.94","225.50","229.40","219.91","6.47M","-0.58%"
"07/30/2025","223.23","216.60","225.50","216.36","2.78M","3.21%"
"07/29/2025","216.29","223.20","225.05","214.00","1.46M","-3.10%"
"07/28/2025","223.20","226.00","227.00","219.52","2.25M","-1.45%"
"07/25/2025","226.49","227.90","228.94","224.00","3.28M","-0.67%"
"07/24/2025","228.02","234.00","235.50","226.11","2.71M","-2.67%"
"07/23/2025","234.27","238.51","240.00","233.70","3.67M","-1.24%"
"07/22/2025","237.20","227.59","239.49","227.59","10.91M","4.42%"
"07/21/2025","227.16","223.80","234.00","223.50","5.32M","2.13%"
"07/18/2025","222.42","223.45","226.00","220.00","2.61M","-0.46%"
"07/17/2025","223.45","216.25","226.00","215.00","3.18M","3.37%"
"07/16/2025","216.17","217.98","220.49","214.00","3.07M","-0.83%"
"07/15/2025","217.98","221.00","232.70","216.00","11.57M","-1.27%"
"07/14/2025","220.79","202.50","221.95","201.80","8.67M","9.43%"
"07/11/2025","201.77","204.30","205.65","200.25","2.15M","-1.22%"
"07/10/2025","204.27","200.83","205.00","200.01","2.49M","1.71%"
