"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","17.57","17.56","17.67","17.45","324.50K","0.46%"
"08/27/2025","17.49","17.65","17.65","17.45","268.00K","-1.24%"
"08/26/2025","17.71","17.50","17.79","17.50","373.00K","1.08%"
"08/25/2025","17.52","17.64","17.64","17.50","302.50K","-0.45%"
"08/22/2025","17.60","17.61","17.75","17.56","255.50K","-0.06%"
"08/21/2025","17.61","17.70","17.80","17.36","487.50K","-0.40%"
"08/20/2025","17.68","17.65","17.79","17.61","363.00K","-0.06%"
"08/19/2025","17.69","17.52","17.79","17.52","413.50K","0.74%"
"08/18/2025","17.56","17.46","17.64","17.38","308.50K","1.04%"
"08/15/2025","17.38","17.46","17.52","17.31","329.50K","0.00%"
"08/13/2025","17.38","17.59","17.59","17.35","274.50K","-0.34%"
"08/12/2025","17.44","17.60","17.62","17.42","412.50K","-0.17%"
"08/11/2025","17.47","17.39","17.50","17.26","192.50K","0.87%"
"08/08/2025","17.32","17.51","17.80","17.20","694.50K","-0.52%"
"08/07/2025","17.41","17.24","17.70","17.20","555.00K","0.99%"
"08/06/2025","17.24","17.15","17.25","17.06","444.50K","1.06%"
"08/05/2025","17.06","16.97","17.14","16.97","391.50K","0.53%"
"08/04/2025","16.97","16.90","17.07","16.83","433.00K","1.31%"
"08/01/2025","16.75","16.11","16.82","16.11","1.28M","2.26%"
"07/31/2025","16.38","16.30","16.43","16.26","194.00K","1.24%"
"07/30/2025","16.18","16.61","16.74","16.02","390.00K","-1.04%"
"07/29/2025","16.35","16.61","16.70","16.26","566.00K","-1.74%"
"07/28/2025","16.64","16.83","16.83","16.55","522.50K","1.34%"
"07/25/2025","16.42","16.50","16.50","16.34","283.50K","0.31%"
"07/24/2025","16.37","16.84","16.84","16.31","463.50K","-0.37%"
"07/23/2025","16.43","16.40","16.50","16.38","369.00K","0.31%"
"07/22/2025","16.38","16.20","17.00","16.19","400.50K","1.68%"
"07/21/2025","16.11","16.20","16.20","16.05","192.00K","-0.31%"
"07/18/2025","16.16","16.28","16.43","16.14","204.50K","-0.74%"
"07/17/2025","16.28","16.00","16.32","16.00","261.00K","2.01%"
"07/16/2025","15.96","15.91","16.00","15.80","307.50K","0.38%"
"07/15/2025","15.90","16.09","16.10","15.87","207.50K","-0.56%"
"07/14/2025","15.99","16.15","16.15","15.97","514.00K","0.13%"
"07/11/2025","15.97","15.89","16.09","15.83","170.00K","0.63%"
"07/10/2025","15.87","15.83","15.90","15.74","209.00K","0.38%"
"07/09/2025","15.81","16.18","16.18","15.77","692.50K","-0.88%"
"07/08/2025","15.95","15.98","16.08","15.83","641.50K","0.00%"
"07/07/2025","15.95","15.95","15.97","15.86","335.50K","0.38%"
"07/04/2025","15.89","15.90","15.92","15.83","213.00K","0.38%"
"07/03/2025","15.83","15.83","15.90","15.70","318.00K","0.64%"
"07/02/2025","15.73","15.99","16.00","15.64","884.00K","0.70%"
"07/01/2025","15.62","16.87","16.87","15.54","3.91M","-8.71%"
"06/30/2025","17.11","16.80","17.15","16.80","118.00K","1.85%"
"06/27/2025","16.80","16.70","16.80","16.50","125.00K","-0.36%"
"06/26/2025","16.86","16.50","16.86","16.40","468.50K","-6.12%"
"06/25/2025","17.96","17.60","18.00","16.50","362.00K","2.63%"
"06/24/2025","17.50","17.18","17.60","17.18","322.00K","6.58%"
"06/23/2025","16.42","17.06","17.06","16.30","627.50K","-4.48%"
"06/20/2025","17.19","17.09","17.32","17.09","108.00K","0.41%"
"06/19/2025","17.12","17.21","17.53","17.08","106.50K","-0.52%"
"06/18/2025","17.21","17.51","17.51","17.20","213.00K","-2.71%"
"06/17/2025","17.69","17.75","17.75","17.02","86.00K","0.17%"
"06/16/2025","17.66","17.98","17.99","17.60","81.00K","0.00%"
"06/13/2025","17.66","18.00","18.00","17.02","323.50K","-1.73%"
"06/12/2025","17.97","18.19","18.26","17.90","201.00K","-0.55%"
"06/11/2025","18.07","17.85","18.09","17.85","423.50K","1.52%"
"06/10/2025","17.80","17.98","17.98","17.72","310.00K","0.23%"
"06/05/2025","17.76","17.79","17.80","17.71","106.50K","0.00%"
"06/04/2025","17.76","17.70","17.81","17.70","246.00K","0.40%"
"06/03/2025","17.69","17.52","17.70","17.52","149.00K","0.34%"
"06/02/2025","17.63","17.67","17.87","17.53","202.00K","-0.17%"
"05/30/2025","17.66","17.52","17.71","17.47","114.50K","0.80%"
"05/29/2025","17.52","17.53","17.65","17.45","164.00K","0.17%"
"05/27/2025","17.49","17.41","17.56","17.39","93.50K","0.46%"
"05/26/2025","17.41","17.52","17.60","17.37","125.00K","-0.80%"
"05/23/2025","17.55","17.58","17.59","17.41","67.00K","0.00%"
"05/22/2025","17.55","17.69","17.80","17.55","607.00K","-0.79%"
"05/21/2025","17.69","17.53","17.75","17.53","158.00K","1.03%"
"05/20/2025","17.51","17.60","17.69","17.51","134.00K","-0.74%"
"05/19/2025","17.64","17.64","17.71","17.53","232.00K","0.06%"
"05/16/2025","17.63","17.97","17.98","17.06","308.50K","-0.11%"
"05/15/2025","17.65","17.40","17.70","17.40","477.00K","2.02%"
"05/14/2025","17.30","17.18","17.45","17.05","311.50K","0.06%"
"05/13/2025","17.29","17.20","17.35","16.92","375.50K","1.71%"
"05/12/2025","17.00","17.00","17.00","17.00","311.50K","10.39%"
"05/09/2025","15.40","14.72","16.29","14.57","738.00K","3.36%"
"05/08/2025","14.90","16.85","16.85","14.56","459.00K","-6.52%"
"05/07/2025","15.94","15.10","16.40","15.10","600.50K","-3.86%"
"05/06/2025","16.58","16.65","16.78","16.55","175.00K","-0.42%"
"05/05/2025","16.65","17.15","17.15","16.50","124.50K","-0.12%"
"05/02/2025","16.67","16.59","16.73","16.45","418.50K","2.65%"
"04/30/2025","16.24","16.70","16.70","16.16","490.50K","-3.10%"
"04/29/2025","16.76","16.73","17.15","16.40","280.50K","0.30%"
"04/28/2025","16.71","17.23","17.23","16.68","179.50K","-1.82%"
"04/25/2025","17.02","17.00","17.24","16.75","180.50K","0.00%"
"04/24/2025","17.02","15.70","17.30","15.70","213.50K","-2.24%"
"04/23/2025","17.41","17.67","17.67","17.36","93.00K","-1.47%"
"04/22/2025","17.67","17.61","17.90","17.51","326.50K","-0.17%"
"04/21/2025","17.70","17.52","17.73","17.52","331.50K","0.80%"
"04/18/2025","17.56","17.69","17.69","17.49","368.50K","-0.28%"
"04/17/2025","17.61","17.50","17.63","17.41","64.50K","0.74%"
"04/16/2025","17.48","17.78","17.78","17.43","124.50K","-0.85%"
"04/15/2025","17.63","17.69","17.70","17.52","208.50K","0.23%"
"04/14/2025","17.59","17.68","17.68","17.35","174.50K","1.21%"
"04/11/2025","17.38","17.90","17.90","17.36","157.50K","-1.53%"
"04/10/2025","17.65","17.65","17.90","17.64","548.50K","2.08%"
"04/09/2025","17.29","17.69","17.69","17.00","466.50K","-1.65%"
"04/08/2025","17.58","17.85","17.85","17.50","329.50K","0.86%"
