"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","261.24","260.53","262.00","259.90","2.20M","0.35%"
"08/27/2025","260.33","261.00","261.99","259.02","2.74M","-0.03%"
"08/26/2025","260.42","263.94","264.70","259.50","4.34M","-0.21%"
"08/25/2025","260.97","262.55","264.25","260.23","2.54M","-0.82%"
"08/22/2025","263.13","262.00","268.70","261.20","12.45M","0.83%"
"08/21/2025","260.97","259.01","262.15","255.55","9.48M","1.05%"
"08/20/2025","258.27","260.00","261.00","257.00","5.29M","-0.55%"
"08/19/2025","259.71","263.97","264.38","259.00","7.63M","-1.46%"
"08/18/2025","263.57","263.01","264.90","258.66","8.84M","0.38%"
"08/15/2025","262.58","270.00","271.65","261.01","8.77M","-2.57%"
"08/13/2025","269.50","272.00","274.00","268.18","11.22M","-0.75%"
"08/12/2025","271.54","278.50","279.35","269.40","15.70M","-2.00%"
"08/11/2025","277.09","269.96","278.50","267.46","12.02M","2.44%"
"08/08/2025","270.48","267.20","276.99","267.20","19.94M","1.27%"
"08/07/2025","267.08","263.02","269.88","263.00","16.98M","1.85%"
"08/06/2025","262.24","259.77","263.40","257.65","8.99M","1.20%"
"08/05/2025","259.14","260.00","264.50","256.00","12.66M","-0.42%"
"08/04/2025","260.22","265.00","269.00","259.12","17.82M","1.78%"
"08/01/2025","255.67","233.45","256.31","231.01","37.05M","9.72%"
"07/31/2025","233.01","228.00","238.00","228.00","24.21M","3.66%"
"07/30/2025","224.78","223.40","226.00","223.40","1.48M","0.33%"
"07/29/2025","224.04","226.99","227.48","222.05","1.83M","-1.36%"
"07/28/2025","227.13","227.10","229.10","223.51","9.30M","0.54%"
"07/25/2025","225.91","225.33","226.98","224.23","2.02M","0.26%"
"07/24/2025","225.33","227.00","228.70","225.00","1.88M","-0.40%"
"07/23/2025","226.23","228.40","231.00","225.52","4.49M","-0.18%"
"07/22/2025","226.63","222.00","229.00","221.01","6.60M","2.46%"
"07/21/2025","221.18","223.28","223.99","220.99","2.49M","-0.94%"
"07/18/2025","223.28","226.00","228.10","223.00","2.84M","-0.84%"
"07/17/2025","225.18","224.80","227.98","224.10","3.41M","0.36%"
"07/16/2025","224.37","223.80","226.00","222.85","2.36M","-0.03%"
"07/15/2025","224.43","227.50","228.00","224.00","2.30M","-1.18%"
"07/14/2025","227.11","228.84","229.20","226.00","2.39M","-0.34%"
"07/11/2025","227.89","227.05","229.01","226.10","2.76M","0.56%"
"07/10/2025","226.62","228.02","228.09","225.80","2.90M","-0.61%"
"07/09/2025","228.02","228.99","230.00","225.06","7.17M","-0.53%"
