"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2025","214.07","209.95","230.14","205.25","829.02K","2.31%"
"08/27/2025","209.23","218.97","225.00","202.10","383.90K","-2.23%"
"08/26/2025","214.00","230.00","231.00","210.83","720.01K","-8.64%"
"08/25/2025","234.24","246.00","254.50","230.00","308.27K","-4.61%"
"08/22/2025","245.57","242.00","259.00","235.00","694.01K","2.09%"
"08/21/2025","240.54","256.00","261.90","240.00","263.48K","-5.81%"
"08/20/2025","255.37","264.99","269.85","240.50","1.05M","-1.34%"
"08/19/2025","258.85","275.00","276.00","255.05","415.14K","-3.11%"
"08/18/2025","267.16","271.00","284.00","265.00","971.16K","1.20%"
"08/15/2025","264.00","242.00","264.00","241.70","1.31M","10.00%"
"08/13/2025","240.00","249.90","249.90","235.00","754.66K","0.08%"
"08/12/2025","239.81","236.00","247.50","234.00","1.29M","4.28%"
"08/11/2025","229.96","219.00","235.00","217.99","1.40M","7.45%"
"08/08/2025","214.01","207.49","228.62","201.05","1.49M","2.97%"
"08/07/2025","207.84","227.00","230.00","202.00","510.58K","-7.23%"
"08/06/2025","224.05","217.00","230.00","216.00","1.25M","4.23%"
"08/05/2025","214.95","208.99","226.00","206.10","1.19M","4.29%"
"08/04/2025","206.10","168.62","206.10","168.62","2.06M","10.00%"
"08/01/2025","187.36","200.00","220.00","187.36","899.92K","-10.00%"
"07/31/2025","208.18","230.00","240.00","205.42","611.47K","-8.79%"
"07/30/2025","228.24","250.00","265.00","224.79","405.78K","-8.62%"
"07/29/2025","249.77","277.01","285.00","249.08","280.88K","-9.75%"
"07/28/2025","276.76","290.00","300.00","273.00","448.93K","0.51%"
"07/25/2025","275.35","287.00","299.89","272.12","219.84K","-2.84%"
"07/24/2025","283.39","297.99","305.00","279.00","853.73K","-3.59%"
"07/23/2025","293.94","289.00","311.00","288.00","644.92K","3.12%"
"07/22/2025","285.05","267.00","285.19","245.11","661.39K","9.95%"
"07/21/2025","259.26","244.00","259.26","243.75","381.79K","10.00%"
"07/18/2025","235.69","237.99","241.99","230.00","153.71K","-1.20%"
"07/17/2025","238.55","243.00","245.00","228.00","274.34K","0.55%"
"07/16/2025","237.24","226.00","249.99","222.00","535.24K","4.38%"
"07/15/2025","227.29","244.99","244.99","222.00","667.95K","-1.28%"
"07/14/2025","230.23","210.00","230.23","210.00","695.30K","10.00%"
"07/11/2025","209.30","218.00","222.50","202.55","185.94K","-4.35%"
"07/10/2025","218.81","215.00","228.99","210.00","1.02M","4.76%"
"07/09/2025","208.87","234.71","234.71","192.03","1.21M","-2.11%"
"07/08/2025","213.37","204.97","213.37","204.97","223.08K","10.00%"
"07/07/2025","193.97","193.97","193.97","190.00","657.18K","10.00%"
"07/04/2025","176.34","159.99","176.34","144.52","679.10K","10.00%"
"07/03/2025","160.31","158.00","168.44","155.10","856.46K","4.04%"
"07/02/2025","154.08","142.88","154.08","142.88","1.88M","10.00%"
"07/01/2025","140.07","140.99","142.68","135.00","2.57M","7.99%"
"06/30/2025","129.71","129.71","129.71","122.53","640.95K","10.00%"
"06/27/2025","117.92","111.00","117.92","110.00","991.86K","10.00%"
"06/26/2025","107.20","104.40","107.23","98.00","2.93M","9.97%"
"06/25/2025","97.48","90.00","97.85","86.15","986.26K","9.59%"
"06/24/2025","88.95","85.20","90.37","85.10","206.70K","8.28%"
"06/23/2025","82.15","85.05","92.50","81.83","254.31K","-9.65%"
"06/20/2025","90.92","91.26","97.40","88.00","279.35K","0.72%"
"06/19/2025","90.27","91.40","92.33","86.15","1.02M","7.54%"
"06/18/2025","83.94","75.50","83.94","74.00","613.03K","10.00%"
"06/17/2025","76.31","75.00","78.00","73.00","307.17K","2.54%"
"06/16/2025","74.42","68.90","74.80","68.01","1.26M","9.44%"
"06/13/2025","68.00","70.00","70.00","66.05","34.82K","-3.61%"
"06/12/2025","70.55","69.00","72.00","66.56","428.67K","2.96%"
"06/11/2025","68.52","63.00","68.84","56.32","804.59K","9.49%"
"06/10/2025","62.58","58.00","63.90","56.00","403.31K","7.73%"
"06/05/2025","58.09","59.80","59.80","57.01","48.33K","-2.81%"
"06/04/2025","59.77","56.33","61.96","55.26","412.12K","6.11%"
"06/03/2025","56.33","59.90","59.90","55.01","82.25K","-4.49%"
"06/02/2025","58.98","55.01","59.38","55.01","347.09K","9.26%"
"05/30/2025","53.98","50.90","53.98","49.15","249.19K","10.01%"
"05/29/2025","49.07","48.00","50.00","47.30","49.35K","1.07%"
"05/27/2025","48.55","49.00","50.20","48.00","54.20K","-1.78%"
"05/26/2025","49.43","49.01","51.50","46.26","127.36K","1.69%"
"05/23/2025","48.61","46.40","50.92","46.30","291.87K","5.01%"
"05/22/2025","46.29","49.50","49.50","45.36","89.06K","-1.51%"
"05/21/2025","47.00","43.00","47.30","43.00","137.77K","9.30%"
"05/20/2025","43.00","43.00","43.00","42.00","43.52K","0.05%"
"05/19/2025","42.98","42.69","43.00","40.40","15.69K","2.07%"
"05/16/2025","42.11","41.15","42.75","40.05","1.76K","0.00%"
"05/15/2025","42.11","42.00","42.97","40.01","4.17K","2.71%"
"05/14/2025","41.00","40.00","41.90","40.00","1.41K","2.45%"
"05/13/2025","40.02","40.99","41.49","39.30","27.24K","-2.08%"
"05/12/2025","40.87","43.00","43.00","36.00","6.76K","3.26%"
"05/09/2025","39.58","40.90","40.90","37.00","2.17K","3.69%"
"05/08/2025","38.17","41.15","41.15","34.05","3.91K","2.03%"
"05/07/2025","37.41","37.70","40.50","37.05","5.10K","-5.72%"
"05/06/2025","39.68","41.00","41.00","39.14","3.18K","-0.80%"
"05/05/2025","40.00","39.99","40.00","39.99","1.50K","1.99%"
"05/02/2025","39.22","40.50","40.50","38.40","2.66K","0.44%"
"04/30/2025","39.05","39.25","40.48","39.00","7.32K","-2.81%"
"04/29/2025","40.18","40.00","41.45","39.00","8.37K","-2.90%"
"04/28/2025","41.38","41.38","43.50","41.38","143.42K","-10.00%"
"04/25/2025","45.98","45.10","46.20","44.00","15.60K","3.21%"
"04/24/2025","44.55","43.00","46.00","43.00","34.16K","1.60%"
"04/23/2025","43.85","44.75","44.75","43.85","2.92K","-0.90%"
"04/22/2025","44.25","43.50","46.00","43.50","21.84K","0.57%"
"04/21/2025","44.00","42.90","44.44","42.50","19.69K","4.54%"
"04/18/2025","42.09","40.25","42.40","40.25","2.98K","0.33%"
"04/17/2025","41.95","41.02","42.00","39.55","20.58K","-0.12%"
"04/16/2025","42.00","41.94","42.00","41.90","10.42K","-2.19%"
"04/15/2025","42.94","41.99","43.95","41.02","1.43K","2.90%"
"04/14/2025","41.73","41.00","41.95","40.55","1.30K","3.60%"
"04/11/2025","40.28","43.49","43.49","40.05","6.08K","-0.81%"
"04/10/2025","40.61","43.95","43.95","40.00","5.58K","-1.79%"
"04/09/2025","41.35","40.99","41.35","39.50","3.37K","1.22%"
"04/08/2025","40.85","40.00","40.90","39.75","8.17K","4.50%"
"04/07/2025","39.09","41.80","43.49","38.56","18.57K","-8.48%"
"04/04/2025","42.71","43.00","43.75","41.80","7.09K","-1.39%"
"04/03/2025","43.31","42.50","43.55","42.50","0.32K","0.00%"
"03/27/2025","43.31","42.61","43.45","42.50","2.14K","1.22%"
"03/26/2025","42.79","42.30","43.40","42.30","1.26K","-0.74%"
"03/25/2025","43.11","43.49","43.49","42.26","4.68K","1.41%"
"03/24/2025","42.51","43.00","43.90","42.50","6.21K","0.93%"
"03/21/2025","42.12","42.97","44.00","42.10","25.66K","1.25%"
"03/20/2025","41.60","42.00","42.90","41.55","20.05K","-1.70%"
"03/19/2025","42.32","44.00","44.50","41.55","16.97K","-2.58%"
"03/18/2025","43.44","42.95","43.50","42.95","0.77K","1.14%"
"03/17/2025","42.95","42.99","42.99","42.95","0.63K","1.66%"
"03/14/2025","42.25","43.90","43.90","41.12","22.64K","-3.96%"
"03/13/2025","43.99","43.90","44.00","43.90","1.05K","3.48%"
"03/12/2025","42.51","43.02","43.02","42.00","4.31K","-2.32%"
"03/10/2025","43.52","44.00","44.00","42.56","6.26K","-3.91%"
"03/07/2025","45.29","44.88","45.40","44.88","4.00K","3.28%"
"03/06/2025","43.85","44.98","45.35","44.98","0.20K","0.00%"
"03/05/2025","43.85","45.30","45.30","45.30","0.05K","0.00%"
"03/04/2025","43.85","43.10","45.00","42.50","2.43K","0.46%"
"03/03/2025","43.65","43.06","44.70","43.00","6.37K","0.99%"
"02/28/2025","43.22","45.40","45.40","43.10","19.20K","-2.92%"
"02/27/2025","44.52","44.50","45.50","44.00","16.23K","-0.47%"
"02/26/2025","44.73","44.50","45.58","44.01","42.62K","0.36%"
"02/25/2025","44.57","45.70","45.95","44.11","26.68K","-0.76%"
"02/24/2025","44.91","46.00","48.00","44.00","333.09K","-1.99%"
"02/21/2025","45.82","45.99","46.95","45.80","389.03K","-0.39%"
"02/20/2025","46.00","45.99","46.95","45.95","275.03K","0.04%"
"02/19/2025","45.98","46.50","47.70","45.90","74.83K","0.02%"
"02/18/2025","45.97","46.20","46.21","45.95","23.23K","-2.19%"
"02/17/2025","47.00","46.55","47.00","46.55","1.50K","0.00%"
"02/14/2025","47.00","47.90","47.90","47.89","0.10K","0.00%"
"02/13/2025","47.00","47.99","47.99","47.00","2.00K","-2.08%"
"02/12/2025","48.00","47.99","48.90","47.99","84.75K","1.89%"
"02/11/2025","47.11","47.10","51.00","47.00","11.87K","0.02%"
"02/10/2025","47.10","48.23","48.23","47.10","0.70K","-2.34%"
"02/07/2025","48.23","48.22","48.23","48.22","2.73K","0.00%"
"02/06/2025","48.23","52.00","52.00","48.10","1.14K","-3.66%"
"02/03/2025","50.06","50.00","50.00","50.00","0.43K","0.00%"
"01/31/2025","50.06","47.01","50.50","46.00","13.21K","4.07%"
"01/30/2025","48.10","47.00","50.80","46.51","0.50K","0.00%"
"01/28/2025","48.10","50.99","50.99","48.10","0.95K","-3.57%"
"01/27/2025","49.88","49.90","50.90","48.00","1.16K","-0.24%"
"01/24/2025","50.00","49.00","51.00","49.00","3.32K","3.95%"
"01/23/2025","48.10","48.00","48.80","47.24","19.52K","2.14%"
"01/22/2025","47.09","49.00","49.00","47.00","4.22K","-5.46%"
"01/21/2025","49.81","48.02","50.00","48.02","5.50K","5.73%"
"01/20/2025","47.11","48.00","49.00","48.00","0.60K","0.00%"
"01/17/2025","47.11","48.01","48.01","47.01","2.50K","-5.59%"
"01/16/2025","49.90","50.50","50.50","50.49","0.05K","0.00%"
"01/15/2025","49.90","48.84","50.25","47.50","5.19K","6.17%"
"01/14/2025","47.00","47.00","47.01","47.00","0.62K","0.06%"
"01/13/2025","46.97","48.00","48.00","46.20","1.55K","-0.17%"
"01/10/2025","47.05","49.20","49.20","47.10","1.31K","0.00%"
"01/09/2025","47.05","47.45","47.45","47.45","0.18K","0.00%"
"01/08/2025","47.05","50.00","50.00","47.03","0.50K","-3.35%"
"01/07/2025","48.68","47.10","51.74","47.10","0.75K","-0.65%"
"01/06/2025","49.00","47.06","49.00","47.06","1.29K","-1.03%"
"01/03/2025","49.51","49.26","50.99","49.00","1.53K","0.22%"
"01/02/2025","49.40","51.90","51.90","49.10","2.96K","-8.52%"
"01/01/2025","54.00","50.50","54.00","49.31","6.73K","8.54%"
"12/31/2024","49.75","51.00","51.00","49.75","4.35K","0.00%"
"12/30/2024","49.75","51.50","52.25","49.75","31.66K","-1.58%"
"12/27/2024","50.55","49.51","51.99","49.51","48.15K","3.14%"
"12/26/2024","49.01","50.00","51.99","49.01","0.01K","-6.61%"
"12/24/2024","52.48","52.48","52.48","52.48","0.00K","-0.78%"
"12/23/2024","52.89","50.27","52.89","50.27","0.01K","1.71%"
"12/20/2024","52.00","54.95","54.95","51.00","0.50K","-0.40%"
"12/19/2024","52.21","52.25","52.25","52.21","0.20K","-3.85%"
"12/18/2024","54.30","54.35","54.35","52.58","1.51K","-1.42%"
"12/17/2024","55.08","62.00","62.00","54.35","1.88K","-10.80%"
"12/16/2024","61.75","56.25","61.75","56.25","3.92K","2.92%"
"12/13/2024","60.00","59.00","63.80","59.00","16.11K","0.00%"
"12/12/2024","60.00","53.20","62.41","53.00","41.86K","14.94%"
"12/11/2024","52.20","56.75","56.75","52.20","0.63K","-0.76%"
"12/10/2024","52.60","53.25","57.00","52.60","3.04K","-7.72%"
"12/09/2024","57.00","55.00","57.00","55.00","5.56K","3.64%"
"12/06/2024","55.00","55.30","57.00","54.80","19.32K","3.77%"
"12/05/2024","53.00","51.00","55.17","51.00","36.49K","6.00%"
"12/04/2024","50.00","48.95","51.80","48.95","6.24K","5.82%"
"12/03/2024","47.25","47.11","51.00","47.11","0.53K","-12.34%"
"12/02/2024","53.90","49.51","54.75","45.60","1.51K","7.80%"
"11/29/2024","50.00","50.00","50.00","49.05","3.09K","2.04%"
"11/28/2024","49.00","50.95","50.95","49.00","21.85K","-0.51%"
"11/27/2024","49.25","45.15","52.51","45.15","32.59K","6.26%"
"11/26/2024","46.35","49.00","50.84","46.31","12.03K","0.52%"
"11/25/2024","46.11","51.25","51.50","46.11","4.08K","-6.22%"
"11/22/2024","49.17","46.00","49.17","43.55","27.86K","10.00%"
"11/21/2024","44.70","49.88","49.88","44.70","5.60K","-3.85%"
"11/20/2024","46.49","48.00","51.98","46.00","8.31K","-2.80%"
"11/19/2024","47.83","49.83","49.83","45.15","7.98K","1.12%"
"11/18/2024","47.30","44.00","50.47","43.50","43.61K","3.39%"
"11/15/2024","45.75","46.00","46.00","45.75","0.93K","-0.54%"
"11/14/2024","46.00","45.00","48.50","45.00","0.01K","-1.08%"
"11/13/2024","46.50","47.00","47.00","46.50","0.06K","0.00%"
"11/12/2024","46.50","46.50","46.50","46.50","0.02K","1.09%"
"11/11/2024","46.00","46.00","46.00","46.00","1.00K","0.00%"
"11/08/2024","46.00","46.50","46.50","44.00","0.40K","2.22%"
"11/07/2024","45.00","47.45","47.45","45.00","0.04K","0.00%"
"11/06/2024","45.00","44.10","46.99","44.10","0.50K","-5.26%"
"11/05/2024","47.50","45.00","47.50","45.00","15.00K","6.03%"
"11/04/2024","44.80","45.00","46.00","44.30","1.02K","2.99%"
"11/01/2024","43.50","45.00","46.50","42.50","2.19K","-5.43%"
"10/31/2024","46.00","46.90","46.90","45.10","5.39K","2.20%"
"10/30/2024","45.01","49.00","49.00","45.01","6.18K","-5.08%"
"10/28/2024","47.42","46.51","47.42","46.50","0.54K","0.89%"
"10/25/2024","47.00","47.05","47.05","47.00","0.06K","0.00%"
"10/24/2024","47.00","46.90","48.82","46.90","5.43K","1.08%"
"10/23/2024","46.50","48.50","48.50","46.25","1.45K","-1.04%"
"10/22/2024","46.99","47.02","47.02","46.60","3.30K","-0.02%"
"10/21/2024","47.00","49.00","49.00","47.00","0.80K","0.00%"
"10/18/2024","47.00","49.00","49.00","47.00","8.51K","-1.07%"
"10/17/2024","47.51","48.05","50.00","47.50","10.21K","-6.84%"
"10/15/2024","51.00","47.84","52.99","47.84","6.20K","1.49%"
"10/14/2024","50.25","49.00","53.35","49.00","21.36K","3.61%"
"10/11/2024","48.50","54.99","54.99","48.11","0.53K","-11.71%"
"10/09/2024","54.93","54.93","54.93","54.93","0.00K","5.63%"
"10/08/2024","52.00","52.00","52.00","52.00","0.10K","-1.14%"
"10/07/2024","52.60","50.54","52.60","50.54","0.51K","4.16%"
"10/04/2024","50.50","53.90","53.90","50.50","1.00K","-4.68%"
"10/03/2024","52.98","50.11","52.98","50.11","0.30K","-0.95%"
"10/02/2024","53.49","52.50","53.49","50.00","3.21K","9.39%"
"10/01/2024","48.90","54.05","54.05","48.90","6.11K","-9.44%"
"09/27/2024","54.00","55.00","55.00","54.00","7.00K","5.65%"
"09/25/2024","51.11","50.01","55.75","50.01","1.00K","-3.57%"
"09/24/2024","53.00","59.70","59.70","52.25","12.73K","2.91%"
"09/23/2024","51.50","53.00","56.90","51.00","2.10K","-0.50%"
"09/20/2024","51.76","54.03","54.35","51.60","3.05K","-9.11%"
"09/19/2024","56.95","51.50","56.95","48.11","9.51K","11.01%"
"09/18/2024","51.30","52.46","52.46","51.30","0.59K","-1.37%"
"09/16/2024","52.01","55.64","56.55","52.00","0.64K","-9.39%"
"09/13/2024","57.40","54.95","57.40","51.30","2.19K","9.86%"
"09/12/2024","52.25","56.95","56.95","52.00","1.93K","-5.00%"
"09/11/2024","55.00","53.00","55.00","50.12","2.01K","3.77%"
"09/10/2024","53.00","53.00","53.00","53.00","0.10K","-1.85%"
"09/09/2024","54.00","55.00","55.00","53.10","0.08K","-1.01%"
"09/06/2024","54.55","54.10","54.55","54.10","0.25K","4.90%"
"09/04/2024","52.00","54.95","54.95","52.00","1.10K","-1.89%"
"09/03/2024","53.00","54.50","54.50","53.00","1.63K","0.76%"
"09/02/2024","52.60","54.95","54.95","52.60","3.67K","3.04%"
"08/30/2024","51.05","55.00","58.00","50.51","9.22K","-7.22%"
"08/29/2024","55.02","59.00","59.00","55.02","0.00K","0.04%"
